Data da Medição;Número do veículo;Número do eixo do trem;Veículo;Número do eixo do veículo;Lateral do veículo;Velocidade do eixo;Extremidade do eixo;Direção;Lateral da linha;Falha de rolamento;Alerta de rolamento;Consistente;Achatamento de pista de roda;ErsDB
2022-02-16 21:41:00;75;303;734879;2,0;R;52;B;Sentido RJ;Distante;.;0;;.;52
2022-02-16 21:41:00;75;303;734879;2,0;L;52;B;Sentido RJ;Proximo;.;0;;.;58
2022-02-16 21:41:00;75;304;734879;1,0;R;52;B;Sentido RJ;Distante;.;0;;.;54
2022-02-16 21:41:00;75;304;734879;1,0;L;52;B;Sentido RJ;Proximo;.;0;;.;59
2022-02-20 02:01:00;66;265;734879;1,0;L;51;A;Sentido RJ;Distante;.;0;;.;54
2022-02-20 02:01:00;66;265;734879;1,0;R;51;A;Sentido RJ;Proximo;.;0;;.;58
2022-02-20 02:01:00;66;266;734879;2,0;L;51;A;Sentido RJ;Distante;.;0;;.;53
2022-02-20 02:01:00;66;266;734879;2,0;R;51;A;Sentido RJ;Proximo;.;0;;.;55
2022-02-20 02:01:00;66;267;734879;3,0;L;51;A;Sentido RJ;Distante;.;0;;.;53
2022-02-20 02:01:00;66;267;734879;3,0;R;51;A;Sentido RJ;Proximo;RS3;0;False;.;56
2022-02-20 02:01:00;66;268;734879;4,0;L;51;A;Sentido RJ;Distante;.;0;;.;55
2022-02-20 02:01:00;66;268;734879;4,0;R;51;A;Sentido RJ;Proximo;RS3;0;False;.;60
2022-02-24 22:27:00;66;265;734879;1,0;L;51;A;Sentido RJ;Distante;.;0;;.;56
2022-02-24 22:27:00;66;265;734879;1,0;R;51;A;Sentido RJ;Proximo;.;0;;.;59
2022-02-24 22:27:00;66;266;734879;2,0;L;51;A;Sentido RJ;Distante;.;0;;.;53
2022-02-24 22:27:00;66;266;734879;2,0;R;51;A;Sentido RJ;Proximo;.;0;;.;56
2022-02-24 22:27:00;66;267;734879;3,0;L;51;A;Sentido RJ;Distante;.;0;;.;54
2022-02-24 22:27:00;66;267;734879;3,0;R;51;A;Sentido RJ;Proximo;RS3;0;False;.;55
2022-02-24 22:27:00;66;268;734879;4,0;L;51;A;Sentido RJ;Distante;.;0;;.;56
2022-02-24 22:27:00;66;268;734879;4,0;R;51;A;Sentido RJ;Proximo;RS3;0;False;.;59
2022-02-26 22:26:00;66;265;734879;1,0;L;52;A;Sentido RJ;Distante;.;0;;.;57
2022-02-26 22:26:00;66;265;734879;1,0;R;52;A;Sentido RJ;Proximo;.;0;;.;60
2022-02-26 22:26:00;66;266;734879;2,0;L;52;A;Sentido RJ;Distante;.;0;;.;55
2022-02-26 22:26:00;66;266;734879;2,0;R;52;A;Sentido RJ;Proximo;.;0;;.;57
2022-02-26 22:26:00;66;267;734879;3,0;L;52;A;Sentido RJ;Distante;.;0;;.;53
2022-02-26 22:26:00;66;267;734879;3,0;R;52;A;Sentido RJ;Proximo;.;0;;.;55
2022-02-26 22:26:00;66;268;734879;4,0;L;52;A;Sentido RJ;Distante;RS3;0;False;.;56
2022-02-26 22:26:00;66;268;734879;4,0;R;52;A;Sentido RJ;Proximo;FBS(RS3);0;False;.;61
2022-02-03 03:58:00;66;265;734879;1,0;L;51;A;Sentido RJ;Distante;.;0;;.;57
2022-02-03 03:58:00;66;265;734879;1,0;R;51;A;Sentido RJ;Proximo;RS3;0;False;.;61
2022-02-03 03:58:00;66;266;734879;2,0;L;51;A;Sentido RJ;Distante;.;0;;.;55
2022-02-03 03:58:00;66;266;734879;2,0;R;51;A;Sentido RJ;Proximo;.;0;;.;58
2022-02-03 03:58:00;66;267;734879;3,0;L;51;A;Sentido RJ;Distante;RS3;0;False;.;55
2022-02-03 03:58:00;66;267;734879;3,0;R;51;A;Sentido RJ;Proximo;.;0;;.;56
2022-02-03 03:58:00;66;268;734879;4,0;L;51;A;Sentido RJ;Distante;.;0;;.;58
2022-02-03 03:58:00;66;268;734879;4,0;R;51;A;Sentido RJ;Proximo;RS3;0;False;.;60
2022-05-03 07:19:00;75;301;734879;4,0;R;51;B;Sentido RJ;Distante;RS3;0;False;.;56
2022-05-03 07:19:00;75;301;734879;4,0;L;51;B;Sentido RJ;Proximo;.;0;;.;59
2022-05-03 07:19:00;75;302;734879;3,0;R;51;B;Sentido RJ;Distante;.;0;;.;53
2022-05-03 07:19:00;75;302;734879;3,0;L;51;B;Sentido RJ;Proximo;.;0;;.;58
2022-05-03 07:19:00;75;303;734879;2,0;R;51;B;Sentido RJ;Distante;.;0;;.;54
2022-05-03 07:19:00;75;303;734879;2,0;L;51;B;Sentido RJ;Proximo;.;0;;.;55
2022-05-03 07:19:00;75;304;734879;1,0;R;51;B;Sentido RJ;Distante;.;0;;.;55
2022-05-03 07:19:00;75;304;734879;1,0;L;51;B;Sentido RJ;Proximo;.;0;;.;59
2022-07-03 07:51:00;75;301;734879;4,0;R;51;B;Sentido RJ;Distante;RS3;0;False;.;56
2022-07-03 07:51:00;75;301;734879;4,0;L;51;B;Sentido RJ;Proximo;.;0;;.;59
2022-07-03 07:51:00;75;302;734879;3,0;R;51;B;Sentido RJ;Distante;.;0;;.;53
2022-07-03 07:51:00;75;302;734879;3,0;L;51;B;Sentido RJ;Proximo;.;0;;.;58
2022-07-03 07:51:00;75;303;734879;2,0;R;51;B;Sentido RJ;Distante;.;0;;.;54
2022-07-03 07:51:00;75;303;734879;2,0;L;51;B;Sentido RJ;Proximo;.;0;;.;56
2022-07-03 07:51:00;75;304;734879;1,0;R;51;B;Sentido RJ;Distante;RS3;0;False;.;60
2022-07-03 07:51:00;75;304;734879;1,0;L;51;B;Sentido RJ;Proximo;.;0;;.;63
2022-09-03 19:15:00;75;301;734879;4,0;R;51;B;Sentido RJ;Distante;RS3;0;False;.;58
2022-09-03 19:15:00;75;301;734879;4,0;L;51;B;Sentido RJ;Proximo;.;0;;.;58
2022-09-03 19:15:00;75;302;734879;3,0;R;51;B;Sentido RJ;Distante;.;0;;.;53
2022-09-03 19:15:00;75;302;734879;3,0;L;51;B;Sentido RJ;Proximo;.;0;;.;55
2022-09-03 19:15:00;75;303;734879;2,0;R;51;B;Sentido RJ;Distante;.;0;;;54
2022-09-03 19:15:00;75;303;734879;2,0;L;51;B;Sentido RJ;Proximo;.;0;;.;55
2022-09-03 19:15:00;75;304;734879;1,0;R;51;B;Sentido RJ;Distante;.;0;;.;55
2022-09-03 19:15:00;75;304;734879;1,0;L;51;B;Sentido RJ;Proximo;.;0;;.;58
2022-12-03 12:19:00;75;301;734879;4,0;R;49;B;Sentido RJ;Distante;.;0;;.;56
2022-12-03 12:19:00;75;301;734879;4,0;L;49;B;Sentido RJ;Proximo;.;0;;.;56
2022-12-03 12:19:00;75;302;734879;3,0;R;49;B;Sentido RJ;Distante;.;0;;.;53
2022-12-03 12:19:00;75;302;734879;3,0;L;49;B;Sentido RJ;Proximo;.;0;;.;54
2022-12-03 12:19:00;75;303;734879;2,0;R;49;B;Sentido RJ;Distante;.;0;;.;54
2022-12-03 12:19:00;75;303;734879;2,0;L;49;B;Sentido RJ;Proximo;.;0;;.;54
2022-12-03 12:19:00;75;304;734879;1,0;R;49;B;Sentido RJ;Distante;.;0;;.;55
2022-12-03 12:19:00;75;304;734879;1,0;L;49;B;Sentido RJ;Proximo;RS3;0;False;.;57
2022-03-14 15:27:00;75;301;734879;4,0;R;51;B;Sentido RJ;Distante;.;0;;.;56
2022-03-14 15:27:00;75;301;734879;4,0;L;51;B;Sentido RJ;Proximo;RS3;0;False;.;57
2022-03-14 15:27:00;75;302;734879;3,0;R;51;B;Sentido RJ;Distante;.;0;;.;53
2022-03-14 15:27:00;75;302;734879;3,0;L;51;B;Sentido RJ;Proximo;.;0;;.;54
2022-03-14 15:27:00;75;303;734879;2,0;R;51;B;Sentido RJ;Distante;.;0;;.;53
2022-03-14 15:27:00;75;303;734879;2,0;L;51;B;Sentido RJ;Proximo;.;0;;.;53
2022-03-14 15:27:00;75;304;734879;1,0;R;51;B;Sentido RJ;Distante;.;0;;.;54
2022-03-14 15:27:00;75;304;734879;1,0;L;51;B;Sentido RJ;Proximo;.;0;;.;56
2022-03-18 05:55:00;75;301;734879;4,0;R;50;B;Sentido RJ;Distante;RS3;0;False;.;56
2022-03-18 05:55:00;75;301;734879;4,0;L;50;B;Sentido RJ;Proximo;.;0;;.;59
2022-03-18 05:55:00;75;302;734879;3,0;R;50;B;Sentido RJ;Distante;.;0;;.;54
2022-03-18 05:55:00;75;302;734879;3,0;L;50;B;Sentido RJ;Proximo;RS3;0;False;.;57
2022-03-18 05:55:00;75;303;734879;2,0;R;50;B;Sentido RJ;Distante;.;0;;.;55
2022-03-18 05:55:00;75;303;734879;2,0;L;50;B;Sentido RJ;Proximo;.;0;;.;56
