Trem_;Veículo_;Rodeiro Veículo_;Média Rolamento Esquerdo (°C)_delta;Média Rolamento Direito (°C)_delta;DP Rolamento Esquerdo (°C)_delta;DP Rolamento Direito (°C)_delta;Rolamento Esquerdo (°C)_delta;Rolamento Direito (°C)_delta;Média Roda Esquerda (°C)_delta;Média Roda Direita (°C)_delta;DP Roda Esquerda (°C)_delta;DP Roda Direita (°C)_delta;Roda Esquerda (°C)_delta;Roda Direita (°C)_delta
NFG0320;734879;1;16,91;14,629999999999999;3,67;2,56;36;14;60,480000000000004;72,83;14,59;13,38;81,0;92,0
NFG0320;734879;2;16,91;14,629999999999999;3,67;2,56;24;22;60,480000000000004;72,83;14,59;13,38;39,0;107,0
NFG0320;734879;3;16,91;14,629999999999999;3,67;2,56;24;14;60,480000000000004;72,83;14,59;13,38;97,0;82,0
NFG0320;734879;4;16,91;14,629999999999999;3,67;2,56;20;18;60,480000000000004;72,83;14,59;13,38;19,0;39,0
NFG0526;612934;1;15,749999999999998;15,43;3,3800000000000003;2,86;20;24;117,48;131,79000000000002;33,0;31,720000000000002;70,0;94,0
NFG0526;612934;2;15,749999999999998;15,43;3,3800000000000003;2,86;20;20;117,48;131,79000000000002;33,0;31,720000000000002;81,0;73,0
NFG0526;612934;3;15,749999999999998;15,43;3,3800000000000003;2,86;20;21;117,48;131,79000000000002;33,0;31,720000000000002;111,0;118,0
NFG0526;612934;4;15,749999999999998;15,43;3,3800000000000003;2,86;25;31;117,48;131,79000000000002;33,0;31,720000000000002;78,0;177,0
NFG0526;734879;1;15,749999999999998;15,43;3,3800000000000003;2,86;21;14;117,48;131,79000000000002;33,0;31,720000000000002;43,0;62,0
NFG0526;734879;2;15,749999999999998;15,43;3,3800000000000003;2,86;24;29;117,48;131,79000000000002;33,0;31,720000000000002;81,0;67,0
NFG0526;734879;3;15,749999999999998;15,43;3,3800000000000003;2,86;22;20;117,48;131,79000000000002;33,0;31,720000000000002;67,0;51,0
NFG0526;734879;4;15,749999999999998;15,43;3,3800000000000003;2,86;21;23;117,48;131,79000000000002;33,0;31,720000000000002;47,0;80,0
NFG1128;612934;1;24,89;23,89;2,9899999999999998;1,7800000000000002;29;22;71,88;78,77;14,65;12,619999999999997;54,0;62,0
NFG1128;612934;2;24,89;23,89;2,9899999999999998;1,7800000000000002;21;25;71,88;78,77;14,65;12,619999999999997;53,0;55,0
NFG1128;612934;3;24,89;23,89;2,9899999999999998;1,7800000000000002;29;24;71,88;78,77;14,65;12,619999999999997;82,0;52,0
NFG1128;612934;4;24,89;23,89;2,9899999999999998;1,7800000000000002;31;23;71,88;78,77;14,65;12,619999999999997;34,0;99,0
NFG1128;734879;1;24,89;23,89;2,9899999999999998;1,7800000000000002;26;21;71,88;78,77;14,65;12,619999999999997;54,0;78,0
NFG1128;734879;2;24,89;23,89;2,9899999999999998;1,7800000000000002;27;24;71,88;78,77;14,65;12,619999999999997;155,0;0,0
NFG1128;734879;3;24,89;23,89;2,9899999999999998;1,7800000000000002;22;29;71,88;78,77;14,65;12,619999999999997;97,0;77,0
NFG1128;734879;4;24,89;23,89;2,9899999999999998;1,7800000000000002;27;29;71,88;78,77;14,65;12,619999999999997;52,0;101,0
NFL0132;612934;1;14,459999999999999;12,26;4,3100000000000005;3,3900000000000006;11;11;89,99000000000001;100,56;21,089999999999996;15,789999999999996;80,0;108,0
NFL0132;612934;2;14,459999999999999;12,26;4,3100000000000005;3,3900000000000006;17;22;89,99000000000001;100,56;21,089999999999996;15,789999999999996;88,0;113,0
NFL0132;612934;3;14,459999999999999;12,26;4,3100000000000005;3,3900000000000006;19;9;89,99000000000001;100,56;21,089999999999996;15,789999999999996;64,0;89,0
NFL0132;612934;4;14,459999999999999;12,26;4,3100000000000005;3,3900000000000006;28;20;89,99000000000001;100,56;21,089999999999996;15,789999999999996;70,0;57,0
